#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price
1,45,79,PID19120074,Burner,Auto double[ SSL ],,2200,
2,45,78,PID19120073,Burner,Auto single[ SSL ],,800,
3,45,77,PID19120072,Burner,Normal(double)[ SSL ],2,800,
4,45,85,PID19120080,Burner,Normal(Single)[ SSL ],11,375,
5,1,61,PID19120061,Empty Cylinder,12[ BASHUNDHARA ],4,500,
6,1,62,PID19120062,Empty Cylinder,35[ BASHUNDHARA ],,,
7,1,42,PID19120042,Empty Cylinder,12[ BIN HABIB ],,,
8,1,43,PID19120043,Empty Cylinder,35[ BIN HABIB ],,,
9,1,44,PID19120044,Empty Cylinder,45[ BIN HABIB ],,,
10,1,18,PID19120018,Empty Cylinder,12[ BM ],247,500,
11,1,20,PID19120020,Empty Cylinder,33[ BM ],3,1500,
12,1,22,PID19120022,Empty Cylinder,45[ BM ],4,2300,
13,1,74,PID19120069,Empty Cylinder,12[ DELTA ],6,500,
14,1,53,PID19120053,Empty Cylinder,12[ EUROGAS ],4,500,
15,1,54,PID19120054,Empty Cylinder,35[ EUROGAS ],,,
16,1,47,PID19120047,Empty Cylinder,12[ G-GAS ],56,500,
17,1,48,PID19120048,Empty Cylinder,35[ G-GAS ],,,
18,1,4,PID19120004,Empty Cylinder,12[ JAMUNA ],931,500,
19,1,8,PID19120008,Empty Cylinder,35[ JAMUNA ],0,1500,
20,1,10,PID19120010,Empty Cylinder,45[ JAMUNA ],0,2300,
21,1,6,PID19120006,Empty Cylinder,5.5[ JAMUNA ],18,300,
22,1,57,PID19120057,Empty Cylinder,12[ JMI ],19,500,
23,1,58,PID19120058,Empty Cylinder,35[ JMI ],8,1500,
24,1,55,PID19120055,Empty Cylinder,12[ LAUGHFS ],,,
25,1,56,PID19120056,Empty Cylinder,35[ LAUGHFS ],,,
26,1,51,PID19120051,Empty Cylinder,12[ NAVANA ],37,500,
27,1,52,PID19120052,Empty Cylinder,35[ NAVANA ],,,
28,1,45,PID19120045,Empty Cylinder,12[ NEWAZ ],,,
29,1,46,PID19120046,Empty Cylinder,35[ NEWAZ ],,,
30,1,12,PID19120012,Empty Cylinder,12[ OMERA ],212,500,
31,1,14,PID19120014,Empty Cylinder,35[ OMERA ],0,1500,
32,1,16,PID19120016,Empty Cylinder,45[ OMERA ],0,2370,
33,1,72,PID19120068,Empty Cylinder,5.5[ OMERA ],7,300,
34,1,49,PID19120049,Empty Cylinder,12[ ORION ],16,500,
35,1,50,PID19120050,Empty Cylinder,35[ ORION ],7,1500,
36,1,36,PID19120036,Empty Cylinder,12[ PADMA ],562,500,
37,1,30,PID19120030,Empty Cylinder,12[ PETROMAX ],101,500,
38,1,32,PID19120032,Empty Cylinder,35[ PETROMAX ],6,1500,
39,1,34,PID19120034,Empty Cylinder,45[ PETROMAX ],0,2300,
40,1,75,PID19120070,Empty Cylinder,12[ PETTRY ],46,500,
41,1,59,PID19120059,Empty Cylinder,12[ PROMITA ],20,500,
42,1,60,PID19120060,Empty Cylinder,35[ PROMITA ],,,
43,1,39,PID19120039,Empty Cylinder,12[ SENA ],10,500,
44,1,40,PID19120040,Empty Cylinder,35[ SENA ],,,
45,1,41,PID19120041,Empty Cylinder,45[ SENA ],,,
46,1,63,PID19120063,Empty Cylinder,12[ TK-SUPER ],6,500,
47,1,24,PID19120024,Empty Cylinder,12[ TOTAL ],362,500,
48,1,65,PID19120065,Empty Cylinder,15[ TOTAL ],96,700,
49,1,26,PID19120026,Empty Cylinder,33[ TOTAL ],18,1500,
50,1,28,PID19120028,Empty Cylinder,45[ TOTAL ],0,2300,
51,1,38,PID19120038,Empty Cylinder,12[ UNIGAS ],,,
52,1,67,PID19120067,Empty Cylinder,35[ UNIGAS ],,,
53,46,86,PID19120081,Hosepipe,".5""[ RFL ]",2,350,
54,44,76,PID19120071,Regulator,Normal(Single)[ SSL ],,,
55,44,81,PID19120076,Regulator,20mm (Normal)[ UNISTAR ],2000,100,
56,44,83,PID19120078,Regulator,20mm Hihg-pressure[ UNISTAR ],70,100,
57,44,80,PID19120075,Regulator,22mm (Normal)[ UNISTAR ],6489,120,
58,44,82,PID19120077,Regulator,22mm High-pressure[ UNISTAR ],1184,200,
59,44,84,PID19120079,Regulator,Regulator Set[ UNISTAR ],417,200,
61,2,3,PACID19120002,Package Refill ,Refill  12[ JAMUNA ],1231,900,
62,1,4,PACID19120002,Package Empty Cylinder,Empty Cylinder 12[ JAMUNA ],1231,500,
63,2,5,PACID19120003,Package Refill ,Refill  5.5[ JAMUNA ],2,360,
64,1,6,PACID19120003,Package Empty Cylinder,Empty Cylinder 5.5[ JAMUNA ],2,300,
65,2,7,PACID19120004,Package Refill ,Refill  35[ JAMUNA ],36,2500,
66,1,8,PACID19120004,Package Empty Cylinder,Empty Cylinder 35[ JAMUNA ],36,1500,
67,2,9,PACID19120005,Package Refill ,Refill  45[ JAMUNA ],4,3170,
68,1,10,PACID19120005,Package Empty Cylinder,Empty Cylinder 45[ JAMUNA ],4,2300,
69,2,11,PACID19120006,Package Refill ,Refill  12[ OMERA ],178,900,
70,1,12,PACID19120006,Package Empty Cylinder,Empty Cylinder 12[ OMERA ],178,500,
71,2,13,PACID19120007,Package Refill ,Refill  35[ OMERA ],21,2500,
72,1,14,PACID19120007,Package Empty Cylinder,Empty Cylinder 35[ OMERA ],21,1500,
73,2,73,PACID19120008,Package Refill ,Refill  5.5[ OMERA ],0,360,
74,1,72,PACID19120008,Package Empty Cylinder,Empty Cylinder 5.5[ OMERA ],0,300,
